source,target,weight
Ororo Munroe,X-Men,1777.3049516849974
X-Men,Ororo Munroe,1777.3049516849974
James Howlett,X-Men,1658.360679774998
X-Men,James Howlett,1658.360679774998
X-Men,Piotr Rasputin,1583.8885438199986
Piotr Rasputin,X-Men,1583.8885438199986
James Howlett,Ororo Munroe,1583.1934955049958
Ororo Munroe,James Howlett,1583.1934955049958
Ororo Munroe,Piotr Rasputin,1532.2492235949967
Piotr Rasputin,Ororo Munroe,1532.2492235949967
Piotr Rasputin,James Howlett,1423.3049516849971
James Howlett,Piotr Rasputin,1423.3049516849971
Kurt Wagner,X-Men,1206.7213595499966
X-Men,Kurt Wagner,1206.7213595499966
Piotr Rasputin,Kurt Wagner,1194.832815729998
Kurt Wagner,Piotr Rasputin,1194.832815729998
Kurt Wagner,Ororo Munroe,1194.1377674149953
Ororo Munroe,Kurt Wagner,1194.1377674149953
Scott Summers,X-Men,1112.7213595499954
X-Men,Scott Summers,1112.7213595499954
Scott Summers,Ororo Munroe,1091.6656314599948
Ororo Munroe,Scott Summers,1091.6656314599948
Samuel Guthrie,New Mutants,1082.4721359549997
New Mutants,Samuel Guthrie,1082.4721359549997
James Howlett,Kurt Wagner,1078.2492235949962
Kurt Wagner,James Howlett,1078.2492235949962
James Howlett,Scott Summers,1054.8328157299973
Scott Summers,James Howlett,1054.8328157299973
New Mutants,Rahne Sinclair,1042.4721359549997
Rahne Sinclair,New Mutants,1042.4721359549997
Jean Grey,Scott Summers,1036.7213595499957
Scott Summers,Jean Grey,1036.7213595499957
Roberto Da Costa,Samuel Guthrie,1032.4721359549997
Samuel Guthrie,Roberto Da Costa,1032.4721359549997
Piotr Rasputin,Scott Summers,1027.7770876399964
Scott Summers,Piotr Rasputin,1027.7770876399964
Rahne Sinclair,Samuel Guthrie,1004.9442719099992
Samuel Guthrie,Rahne Sinclair,1004.9442719099992
New Mutants,Roberto Da Costa,994.4721359549997
Roberto Da Costa,New Mutants,994.4721359549997
Charles Xavier,X-Men,987.3049516849969
X-Men,Charles Xavier,987.3049516849969
Katherine Pryde,Kurt Wagner,984.8328157299973
Kurt Wagner,Katherine Pryde,984.8328157299973
Scott Summers,Henry McCoy,952.7213595499958
Henry McCoy,Scott Summers,952.7213595499958
Warren Worthington III,Scott Summers,942.8328157299975
Scott Summers,Warren Worthington III,942.8328157299975
Ororo Munroe,Charles Xavier,931.3049516849969
Charles Xavier,Ororo Munroe,931.3049516849969
Roberto Da Costa,Rahne Sinclair,926.9442719099992
Rahne Sinclair,Roberto Da Costa,926.9442719099992
Piotr Rasputin,Charles Xavier,899.3049516849969
Charles Xavier,Piotr Rasputin,899.3049516849969
Danielle Moonstar,New Mutants,894.9442719099992
New Mutants,Danielle Moonstar,894.9442719099992
Kurt Wagner,Scott Summers,884.8328157299973
Scott Summers,Kurt Wagner,884.8328157299973
Robert Drake,Scott Summers,872.8328157299975
Scott Summers,Robert Drake,872.8328157299975
Rogue (Anna Marie),X-Men,872.3606797749977
X-Men,Rogue (Anna Marie),872.3606797749977
Henry McCoy,Jean Grey,865.8885438199983
Jean Grey,Henry McCoy,865.8885438199983
Warren Worthington III,Jean Grey,864.3606797749978
Jean Grey,Warren Worthington III,864.3606797749978
Samuel Guthrie,Danielle Moonstar,854.9442719099992
Danielle Moonstar,Samuel Guthrie,854.9442719099992
Danielle Moonstar,Rahne Sinclair,848.0
Rahne Sinclair,Danielle Moonstar,848.0
Henry McCoy,Warren Worthington III,827.4164078649987
Warren Worthington III,Henry McCoy,827.4164078649987
Jean Grey,X-Factor,826.4721359549995
X-Factor,Jean Grey,826.4721359549995
James Howlett,Charles Xavier,825.3049516849969
Charles Xavier,James Howlett,825.3049516849969
Robert Drake,Henry McCoy,822.4721359549995
Henry McCoy,Robert Drake,822.4721359549995
Warren Worthington III,Robert Drake,818.4721359549995
Robert Drake,Warren Worthington III,818.4721359549995
Robert Drake,Jean Grey,816.9442719099991
Jean Grey,Robert Drake,816.9442719099991
Katherine Pryde,X-Men,807.3049516849968
X-Men,Katherine Pryde,807.3049516849968
Kurt Wagner,Charles Xavier,801.8885438199983
Charles Xavier,Kurt Wagner,801.8885438199983
Scott Summers,X-Factor,796.4721359549995
X-Factor,Scott Summers,796.4721359549995
Rogue (Anna Marie),Ororo Munroe,790.8328157299973
Ororo Munroe,Rogue (Anna Marie),790.8328157299973
Roberto Da Costa,Danielle Moonstar,769.4164078649987
Danielle Moonstar,Roberto Da Costa,769.4164078649987
Robert Drake,X-Factor,756.4721359549995
Henry McCoy,X-Factor,756.4721359549995
X-Factor,Robert Drake,756.4721359549995
X-Factor,Henry McCoy,756.4721359549995
Katherine Pryde,Piotr Rasputin,746.7213595499954
Piotr Rasputin,Katherine Pryde,746.7213595499954
Warren Worthington III,X-Factor,746.4721359549995
X-Factor,Warren Worthington III,746.4721359549995
Ororo Munroe,Katherine Pryde,739.3049516849969
Katherine Pryde,Ororo Munroe,739.3049516849969
James Howlett,Rogue (Anna Marie),720.8328157299973
Rogue (Anna Marie),James Howlett,720.8328157299973
Piotr Rasputin,Rogue (Anna Marie),716.3606797749978
Rogue (Anna Marie),Piotr Rasputin,716.3606797749978
Scott Summers,Charles Xavier,710.7213595499956
Charles Xavier,Scott Summers,710.7213595499956
Warlock (Technarch),New Mutants,705.4164078649986
New Mutants,Warlock (Technarch),705.4164078649986
X-Men,Alexander Summers,692.8328157299974
Alexander Summers,X-Men,692.8328157299974
James Howlett,Katherine Pryde,684.8328157299973
Katherine Pryde,James Howlett,684.8328157299973
Rahne Sinclair,Warlock (Technarch),682.9442719099992
Warlock (Technarch),Rahne Sinclair,682.9442719099992
Warlock (Technarch),Samuel Guthrie,675.4164078649986
Samuel Guthrie,Warlock (Technarch),675.4164078649986
Ororo Munroe,Alexander Summers,672.8328157299974
Alexander Summers,Ororo Munroe,672.8328157299974
X-Men,Sean Cassidy,664.9442719099992
Sean Cassidy,X-Men,664.9442719099992
Ororo Munroe,Sean Cassidy,649.4164078649987
Sean Cassidy,Ororo Munroe,649.4164078649987
Roberto Da Costa,Warlock (Technarch),640.9442719099991
Warlock (Technarch),Roberto Da Costa,640.9442719099991
X-Men,Elizabeth Braddock,638.4721359549997
Elizabeth Braddock,X-Men,638.4721359549997
Sean Cassidy,James Howlett,622.9442719099992
James Howlett,Sean Cassidy,622.9442719099992
James Howlett,Alexander Summers,622.2492235949961
Alexander Summers,James Howlett,622.2492235949961
New Mutants,Illyana Rasputina,600.4721359549995
Illyana Rasputina,New Mutants,600.4721359549995
Illyana Rasputina,Samuel Guthrie,580.4721359549995
Samuel Guthrie,Illyana Rasputina,580.4721359549995
Danielle Moonstar,Warlock (Technarch),578.4721359549997
Warlock (Technarch),Danielle Moonstar,578.4721359549997
Elizabeth Braddock,James Howlett,577.4164078649987
James Howlett,Elizabeth Braddock,577.4164078649987
Ororo Munroe,Elizabeth Braddock,569.8885438199984
Elizabeth Braddock,Ororo Munroe,569.8885438199984
Kurt Wagner,Rachel Summers (Earth-811),564.0
Rachel Summers (Earth-811),Kurt Wagner,564.0
Piotr Rasputin,Alexander Summers,560.3606797749978
Alexander Summers,Piotr Rasputin,560.3606797749978
Piotr Rasputin,Sean Cassidy,557.4164078649987
Sean Cassidy,Piotr Rasputin,557.4164078649987
Danielle Moonstar,Illyana Rasputina,552.9442719099991
Illyana Rasputina,Danielle Moonstar,552.9442719099991
Scott Summers,Sean Cassidy,545.4164078649987
Sean Cassidy,Scott Summers,545.4164078649987
Rahne Sinclair,Illyana Rasputina,542.9442719099991
Illyana Rasputina,Rahne Sinclair,542.9442719099991
Rachel Summers (Earth-811),Katherine Pryde,528.9442719099992
Katherine Pryde,Rachel Summers (Earth-811),528.9442719099992
Roberto Da Costa,Illyana Rasputina,510.47213595499954
Illyana Rasputina,Roberto Da Costa,510.47213595499954
Moira MacTaggert (Earth-TRN748),X-Men,507.88854381999835
X-Men,Moira MacTaggert (Earth-TRN748),507.88854381999835
Tabitha Smith,Julio Richter,500.0
Julio Richter,Tabitha Smith,500.0
X-Men,Jean Grey,497.0820393249937
Jean Grey,X-Men,497.0820393249937
Rogue (Anna Marie),Elizabeth Braddock,496.360679774998
Elizabeth Braddock,Rogue (Anna Marie),496.360679774998
Samuel Guthrie,Tabitha Smith,488.9442719099992
Tabitha Smith,Samuel Guthrie,488.9442719099992
Katherine Pryde,Charles Xavier,484.36067977499795
Charles Xavier,Katherine Pryde,484.36067977499795
X-Men,Alison Blaire,481.41640786499875
Alison Blaire,X-Men,481.41640786499875
Kurt Wagner,Sean Cassidy,479.8885438199984
Sean Cassidy,Kurt Wagner,479.8885438199984
Moira MacTaggert (Earth-TRN748),James Howlett,472.36067977499795
James Howlett,Moira MacTaggert (Earth-TRN748),472.36067977499795
Scott Summers,Katherine Pryde,465.30495168499715
Katherine Pryde,Scott Summers,465.30495168499715
X-Factor,Prosh,464.47213595499954
Prosh,X-Factor,464.47213595499954
Moira MacTaggert (Earth-TRN748),Ororo Munroe,464.36067977499795
