,source,target,weight
0,X-Men,X-Men,19652
1,X-Men,X-Men,19572
2,X-Men,X-Men,19572
3,X-Men,Piotr Rasputin,15524
4,X-Men,Scott Summers,10812
5,X-Men,Kurt Wagner,11720
6,X-Men,Alexander Summers,6732
7,X-Men,James Howlett,16328
8,X-Men,Ororo Munroe,17448
9,X-Men,Jean Grey,4516
10,X-Men,Jean Grey,4496
11,X-Men,Jean Grey,4496
12,X-Men,Jean Grey,4476
13,X-Men,Warren Worthington III,3968
14,X-Men,Charles Xavier,9632
15,X-Men,Charles Xavier,9632
16,X-Men,Charles Xavier,9532
17,X-Men,Charles Xavier,9532
18,X-Men,Shiro Yoshida,544
19,X-Men,Sean Cassidy,6552
20,X-Men,Robert Drake,2472
21,X-Men,Lorna Dane,3764
22,X-Men,Avengers,444
23,X-Men,Henry McCoy,3368
24,X-Men,Moira MacTaggert (Earth-TRN748),4980
25,X-Men,Shi'ar Imperial Fleet,700
26,X-Men,Lilandra Neramani,4104
27,X-Men,Jimaine Szardos,1540
28,X-Men,Peter Corbeau,1100
29,X-Men,Nicholas Fury,500
30,X-Men,Thomas Cassidy,740
31,X-Men,"Strategic Homeland Intervention, Enforcement and Logistics Division",300
32,X-Men,Hellfire Club,2464
33,X-Men,Phoenix Force,3708
34,X-Men,Phoenix Force,3608
35,X-Men,Phoenix Force,3608
36,X-Men,Phoenix Force,3508
37,X-Men,Cain Marko,1260
38,X-Men,Mercedes Knight,1120
39,X-Men,Max Eisenhardt,3424
40,X-Men,James Madrox,1120
41,X-Men,John Grey,1520
42,X-Men,Elaine Grey,1520
43,X-Men,Starjammers,1820
44,X-Men,Ch'od,1540
45,X-Men,Cr'reee,1020
46,X-Men,Christopher Summers,2300
47,X-Men,Hepzibah,1540
48,X-Men,Raza Longknife,1540
49,X-Men,Imperial Guard,920
50,X-Men,Kallark,1140
51,X-Men,Sybil (Oracle),720
52,X-Men,Araki,800
53,X-Men,Karl Lykos,320
54,X-Men,Mariko Yashida,1120
55,X-Men,Colleen Wing,800
56,X-Men,Arcade,920
57,X-Men,Miss Locke,900
58,X-Men,Jason Wyngarde,1480
59,X-Men,Peter Parker,440
60,X-Men,Brian Braddock,524
61,X-Men,Illyana Rasputina,3500
62,X-Men,Dai Thomas,220
63,X-Men,Katherine Pryde,7852
64,X-Men,Emma Frost,1020
65,X-Men,Sebastian Shaw,2244
66,X-Men,Harold Leland,944
67,X-Men,Donald Pierce,1220
68,X-Men,Alison Blaire,4676
69,X-Men,Candace Southern,440
70,X-Men,Sage,1304
71,X-Men,Wade Cole,700
72,X-Men,Angelo Macon,700
73,X-Men,Murray Reese,700
74,X-Men,Robert Kelly,820
75,X-Men,New York City Police Department,1300
76,X-Men,Frederick Dukes,1160
77,X-Men,Stephanie Hunter,1600
78,X-Men,Katherine Pryde (Earth-811),740
79,X-Men,Rachel Summers (Earth-811),2604
80,X-Men,Brotherhood of Evil Mutants,720
81,X-Men,Raven Darkhölme,1820
82,X-Men,Raven Darkhölme,1820
83,X-Men,Irene Adler,1120
84,X-Men,St. John Allerdyce,1020
85,X-Men,Dominikos Petrakis,940
86,X-Men,Henry Gyrich,540
87,X-Men,Aleytys Forrester,1300
88,X-Men,Theresa Cassidy,400
89,X-Men,Caliban,640
90,X-Men,Carol Danvers,2364
91,X-Men,Cal'syee Neramani,920
92,X-Men,Sikorsky,720
93,X-Men,Rogue (Anna Marie),8432
94,X-Men,S'ym,360
95,X-Men,Xi'an Coy Manh,704
96,X-Men,Lockheed,1960
97,X-Men,New Mutants,3284
98,X-Men,Samuel Guthrie,3084
99,X-Men,Samuel Guthrie,3084
100,X-Men,Rahne Sinclair,2904
