,character name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
0,X-Men,19652,19652,19572,19572,15524,10812,11720,6732,16328,17448,4516,4496,4496,4476,3968,9632,9632,9532,9532,544,6552,2472,3764,444,3368,4980,700,4104,1540,1100,500,740,300,2464,3708,3608,3608,3508,1260,1120,3424,1120,1520,1520,1820,1540,1020,2300,1540,1540,920,1140,720,800,320,1120,800,920,900,1480,440,524,3500,220,7852,1020,2244,944,1220,4676,440,1304,700,700,700,820,1300,1160,1600,740,2604,720,1820,1820,1120,1020,940,540,1300,400,640,2364,920,720,8432,360,704,1960,3284,3084,3084,2904,2004,2984,3784,1960,1044,2160,204,520,300,620,1040,420,1080,200,1124,3448,900,1228,820,300,1500,100,200,100,100,740,720,664,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,320,800,1340,720,720,1200,1020,620,2260,6328,800,500,820,720,800,600,600,1400,800,700,500,500,228,500,1120,400,500,1104,1000,320,800,500,900,24,340,260,2600,220,220,220,200,440,440,400,220,1300,600,700,0,0,1920,1100,1000,400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,4,4,20,0,0,0,0,0,100,400,20,20,0,0,0
1,X-Men,19652,19656,19572,19576,15528,10812,11720,6732,16332,17452,4516,4496,4496,4476,3968,9632,9632,9532,9532,544,6552,2472,3764,444,3368,4980,700,4104,1540,1100,500,740,300,2464,3708,3608,3608,3508,1260,1120,3424,1120,1520,1520,1820,1540,1020,2300,1540,1540,920,1140,720,800,320,1120,800,920,900,1480,440,524,3500,220,7852,1020,2244,944,1220,4676,440,1304,700,700,700,820,1300,1160,1600,740,2604,720,1820,1820,1120,1020,940,540,1300,400,640,2364,920,720,8436,360,704,1960,3304,3104,3104,2904,2004,2984,3784,1980,1044,2160,204,540,300,620,1040,420,1080,200,1124,3448,900,1228,820,300,1500,100,220,100,100,740,720,684,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,320,800,1340,720,720,1200,1020,620,2260,6328,800,500,820,720,800,600,600,1400,800,700,500,500,228,500,1120,400,500,1104,1000,320,800,500,900,24,340,260,2600,220,220,220,200,440,440,400,220,1300,600,700,0,20,1920,1120,1000,400,0,0,0,0,0,0,20,120,0,0,20,20,20,20,0,120,0,0,120,120,0,4,4,20,0,0,0,0,0,100,400,20,20,0,0,0
2,X-Men,19572,19572,19556,19556,15508,10796,11704,6732,16328,17368,4500,4480,4480,4460,3952,9552,9552,9452,9452,544,6552,2456,3764,444,3352,4980,700,4024,1540,1100,500,740,300,2384,3708,3608,3608,3508,1260,1120,3344,1120,1520,1520,1740,1460,940,2220,1460,1460,920,1140,720,800,320,1120,800,920,900,1480,440,524,3420,220,7852,940,2164,944,1220,4676,440,1224,700,700,700,820,1300,1160,1600,740,2604,720,1820,1820,1120,1020,940,540,1300,400,640,2284,920,640,8416,360,624,1960,3204,3004,3004,2824,1924,2904,3784,1944,1028,2144,204,520,300,620,1040,420,1000,200,1044,3448,900,1148,820,300,1420,100,200,100,100,740,720,664,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,320,800,1324,720,720,1200,1020,620,2244,6328,800,500,820,720,800,600,600,1400,800,700,500,500,228,500,1040,400,500,1104,1000,320,800,500,900,24,340,260,2600,220,220,220,200,440,440,400,220,1300,600,700,0,0,1920,1100,1000,400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,4,4,20,0,0,0,0,0,100,400,20,20,0,0,0
3,X-Men,19572,19576,19556,19560,15512,10796,11704,6732,16332,17372,4500,4480,4480,4460,3952,9552,9552,9452,9452,544,6552,2456,3764,444,3352,4980,700,4024,1540,1100,500,740,300,2384,3708,3608,3608,3508,1260,1120,3344,1120,1520,1520,1740,1460,940,2220,1460,1460,920,1140,720,800,320,1120,800,920,900,1480,440,524,3420,220,7852,940,2164,944,1220,4676,440,1224,700,700,700,820,1300,1160,1600,740,2604,720,1820,1820,1120,1020,940,540,1300,400,640,2284,920,640,8420,360,624,1960,3224,3024,3024,2824,1924,2904,3784,1964,1028,2144,204,540,300,620,1040,420,1000,200,1044,3448,900,1148,820,300,1420,100,220,100,100,740,720,684,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,320,800,1324,720,720,1200,1020,620,2244,6328,800,500,820,720,800,600,600,1400,800,700,500,500,228,500,1040,400,500,1104,1000,320,800,500,900,24,340,260,2600,220,220,220,200,440,440,400,220,1300,600,700,0,20,1920,1120,1000,400,0,0,0,0,0,0,20,120,0,0,20,20,20,20,0,120,0,0,120,120,0,4,4,20,0,0,0,0,0,100,400,20,20,0,0,0
4,Piotr Rasputin,15524,15528,15508,15512,16188,9984,11656,5416,13884,14924,3716,3696,3696,3676,3352,8756,8752,8656,8652,540,5468,1852,3060,444,2736,4404,700,3804,1440,1100,204,720,100,2384,3608,3508,3508,3408,1060,1120,2604,1120,1520,1520,1740,1460,940,2220,1460,1460,720,940,520,800,320,1000,800,920,900,1480,440,484,2944,220,7124,940,2164,944,1040,3596,420,1224,600,600,600,820,1300,1180,1320,740,2184,620,1660,1660,960,1040,960,240,1300,400,640,2208,620,640,6848,500,364,1920,1648,1548,1548,1428,1528,1428,3308,1704,928,1884,200,740,300,320,860,140,664,200,1044,1888,500,552,820,300,808,100,220,100,100,240,640,704,1204,1204,1204,1204,1188,1188,1188,1188,1204,1204,1204,1204,1188,1188,1188,1188,240,520,868,328,508,720,628,408,1444,3992,420,300,444,604,540,440,440,1360,620,600,400,300,228,300,220,900,500,504,400,800,300,600,500,60,340,340,1020,240,240,120,100,240,240,380,220,820,500,600,220,20,720,220,100,300,0,0,0,0,100,100,120,220,0,0,20,20,20,20,0,120,0,0,120,120,0,0,0,0,0,0,0,0,0,100,380,20,20,0,0,0
5,Scott Summers,10812,10812,10796,10796,9984,17048,8636,4024,10336,10556,10024,10020,10004,10000,9232,6812,6792,6812,6792,520,5364,8532,2680,640,9216,3464,700,3600,880,1100,304,620,200,1200,3644,3644,3544,3544,760,1120,2120,1020,1640,1640,1540,1260,940,2020,1260,1260,620,840,420,800,320,1140,800,920,900,1580,424,440,1500,200,4448,640,1080,660,460,1264,780,320,200,200,200,420,1140,1200,700,220,780,540,1740,1740,1040,1160,980,300,900,300,2300,1564,620,740,2836,60,224,1060,1340,1440,1440,1440,540,1340,3028,1164,324,444,1020,620,300,300,720,200,224,2000,160,1544,100,124,120,100,764,0,100,0,0,200,1040,640,3792,3792,3792,3792,3712,3712,3712,3712,3872,3872,3872,3872,3792,3792,3792,3792,320,120,724,320,440,420,520,220,7924,1964,0,0,620,420,600,400,400,260,20,0,0,0,1040,2500,3440,100,100,500,500,100,500,620,400,2580,4420,4420,1020,600,500,20,0,20,120,320,220,920,300,500,1200,100,1200,2800,2400,100,0,0,0,0,0,2600,2800,3100,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,700,700,700,700,700,900,320,0,0,0,0,0
6,Kurt Wagner,11720,11720,11704,11704,11656,8636,15348,2660,10496,11572,2372,2352,2352,2332,2432,7888,7888,7888,7888,560,4684,1052,1980,444,1812,3700,700,3700,1460,1100,100,720,0,2000,3320,3320,3220,3220,924,1120,2064,720,1020,1020,1620,1340,940,2100,1340,1340,620,840,420,800,320,940,800,1020,1000,1580,540,4004,2484,1200,9636,840,1780,960,520,628,420,840,200,200,200,620,1100,860,1000,2804,5608,620,1020,1020,620,720,640,240,1100,100,640,1560,520,640,3556,340,324,4200,1148,1048,1048,948,1048,948,1400,1384,928,1504,200,520,300,420,540,220,688,100,860,524,200,532,520,200,548,100,200,100,100,20,320,344,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,320,0,264,224,204,120,224,204,424,604,240,120,40,4,120,20,120,20,0,0,0,0,20,0,120,20,20,0,20,20,20,120,20,0,120,120,0,20,20,1804,700,20,20,3904,2204,100,0,100,0,0,120,100,0,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,3904,800,1000,1200,0,0
7,Alexander Summers,6732,6732,6732,6732,5416,4024,2660,6936,5984,6532,2212,2212,2212,2212,1880,1724,1724,1724,1724,208,2368,1628,3116,120,1588,1648,400,1184,340,200,4,224,0,508,1384,1284,1384,1284,544,500,544,720,840,840,500,420,420,832,320,320,104,124,204,100,24,280,300,504,500,624,4,144,620,120,1520,200,308,108,524,3408,104,304,300,300,300,220,400,524,600,20,140,200,720,720,520,500,420,0,420,0,0,848,120,120,3512,120,0,520,1100,1100,1100,1200,200,1000,2568,120,0,200,0,100,120,0,320,0,8,100,104,1460,700,0,200,100,720,0,100,0,0,220,500,344,1640,1640,1640,1640,1640,1640,1640,1640,1720,1720,1720,1720,1720,1720,1720,1720,0,420,900,400,500,900,700,400,1600,4148,0,0,620,700,600,400,400,1340,520,500,300,300,200,400,1000,500,600,1204,1100,420,800,500,1000,20,300,220,920,320,320,0,0,120,120,140,100,820,100,300,0,0,1000,1100,900,100,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,100,140,20,20,0,0,0
8,James Howlett,16328,16332,16328,16332,13884,10336,10496,5984,16860,15448,4252,4232,4232,4212,3644,8048,8048,7948,7948,724,6148,2444,3480,440,3244,4600,700,3680,1140,1100,500,720,300,1700,3708,3608,3608,3508,1060,1120,2660,1120,1620,1620,1720,1440,920,2100,1440,1440,920,1140,720,800,320,1200,800,720,700,1440,440,480,2300,200,6636,740,1460,940,1060,3904,320,720,720,720,720,740,1220,960,1220,620,1880,420,1460,1460,840,820,740,420,1000,400,500,1980,920,620,6948,340,224,1680,1820,1720,1720,1700,900,1500,3460,1420,700,1720,0,520,300,320,660,140,552,200,560,2868,800,224,620,200,964,100,220,100,100,724,620,664,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,220,740,1220,640,720,1120,940,620,2020,5668,500,200,740,720,800,600,600,1200,640,540,420,420,224,400,800,500,300,900,900,420,600,600,900,20,120,120,2340,80,80,220,200,460,460,360,220,1100,700,700,0,220,1620,1020,900,100,0,0,0,0,0,0,20,120,0,0,20,120,20,220,0,120,0,0,120,120,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0
9,Ororo Munroe,17448,17452,17368,17372,14924,10556,11572,6532,15448,18460,4156,4136,4136,4116,3788,9060,9056,8960,8956,544,6372,2292,3464,460,3172,4504,700,4080,1540,1100,424,720,300,2260,3676,3576,3576,3476,1060,1120,2924,1020,1440,1440,1820,1540,1020,2300,1540,1540,920,1140,720,800,320,984,800,920,900,1480,440,504,3320,200,7156,1020,1940,940,1060,4088,420,1100,620,620,620,820,1200,1180,1420,720,2220,720,1940,1940,1340,1040,960,380,1100,300,720,2292,920,720,7648,660,724,1980,2620,2420,2420,2400,1600,2300,3768,1780,960,2240,200,540,300,540,1160,340,1052,100,920,3180,900,944,900,300,1464,100,220,100,100,840,740,604,1904,1904,1904,1904,1888,1888,1888,1888,1904,1904,1904,1904,1888,1888,1888,1888,220,640,1340,720,720,1200,1020,620,2080,5584,700,500,804,720,800,700,600,1264,640,620,420,420,220,520,1000,500,600,1104,1000,420,700,500,900,44,340,260,1840,500,500,220,200,720,620,380,220,1220,600,800,20,20,1800,1040,900,200,0,0,0,0,0,0,40,140,0,0,20,20,20,20,0,120,0,0,120,120,0,0,0,0,0,0,0,0,0,100,380,0,0,0,0,0
