,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
0,X-Men,196,14,55,210,265
6,Storm (Ororo Munroe),184,15,10,199,209
2,Cyclops (Scott Summers),170,12,12,182,194
5,Wolverine (James Howlett),168,15,18,183,201
1,Colossus (Piotr Rasputin),161,22,11,183,194
3,Nightcrawler (Kurt Wagner),153,12,6,165,171
422,Cannonball (Samuel Guthrie),124,4,1,128,129
421,New Mutants,114,5,19,119,138
225,Shadowcat (Kitty Pryde),113,10,10,123,133
9,Professor X (Charles Xavier),111,19,70,130,200
7,Jean Grey,108,20,26,128,154
423,Wolfsbane (Rahne Sinclair),104,5,4,109,113
425,Sunspot (Roberto da Costa),104,6,7,110,117
8,Angel (Warren Worthington III),98,9,4,107,111
16,Beast (Henry McCoy),92,14,1,106,107
424,Mirage (Danielle Moonstar),89,5,4,94,98
392,Rogue (Anna Marie),86,15,5,101,106
641,X-Factor,85,1,19,86,105
13,Iceman (Bobby Drake),85,10,0,95,95
217,Magik (Illyana Rasputina),78,5,20,83,103
12,Banshee (Sean Cassidy),77,5,5,82,87
541,Warlock,69,5,8,74,82
4,Havok (Alexander Summers),69,9,8,78,86
585,Cable (Nathan Summers),68,8,10,76,86
651,Psylocke (Betsy Braddock),66,3,2,69,71
847,Boom-Boom (Tabitha Smith),66,2,0,68,68
39,Moira MacTaggert,65,4,19,69,88
100,Magneto (Max Eisenhardt),64,6,23,70,93
300,Rachel Summers,62,2,1,64,65
731,Prosh,56,0,5,56,61
848,Rictor (Julio Richter),53,0,3,53,56
235,Dazzler (Alison Blaire),50,7,7,57,64
49,Lilandra Neramani,48,5,4,53,57
419,Lockheed,47,2,2,49,51
429,Madelyne Pryor,47,12,13,59,72
474,Forge,45,4,4,49,53
491,Magma (Amara Aquilla),44,6,4,50,54
1059,Rusty Collins,44,1,3,45,48
89,Hellfire Club,41,4,20,45,65
209,Captain Britain (Brian Braddock),41,3,1,44,45
1296,Meggan Puceanu,40,1,0,41,41
14,Polaris (Lorna Dane),40,4,6,44,50
772,Excalibur,40,1,4,41,45
1058,Skids,39,1,3,40,43
458,Cypher (Douglas Ramsey),39,9,14,48,62
705,Cameron Hodge,38,1,3,39,42
430,Morlocks,37,2,13,39,52
308,Mystique (Raven Darkhölme),36,1,6,37,43
