character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
Mister Fantastic,46,0,3,46,49
Susan Storm,43,0,1,43,44
Valeria Richards,41,0,0,41,41
The Thing,38,0,2,38,40
Future Foundation,37,0,0,37,37
Franklin Richards,35,0,0,35,35
Jonathan Storm,34,0,3,34,37
Bentley Wittman (Clone),34,0,0,34,34
Fantastic Four,29,0,0,29,29
Mik (Moloid),29,0,0,29,29
Alexander Power,29,0,0,29,29
Draconus,28,0,0,28,28
Wu,27,0,0,27,27
Vil,27,0,0,27,27
Turg (Moloid),27,0,0,27,27
Tong (Moloid),27,0,0,27,27
Leech,26,0,0,26,26
Korr (Moloid),26,0,0,26,26
Spider-Man (Peter Parker),25,0,1,25,26
Nathaniel Richards,24,0,0,24,24
Artie Maddicks,23,0,0,23,23
Doctor Doom,18,0,2,18,20
Reed Richards (Earth-12498),15,1,0,16,16
Medusalith Amaquelin,13,0,0,13,13
Blackagar Boltagon,13,0,1,13,14
Universal Inhumans,12,0,1,12,13
House of Agon,12,0,0,12,12
Franklin Richards (Earth-10774),12,0,0,12,12
Reed Richards (Earth-4280),11,0,0,11,11
Supreme Intelligence,11,0,1,11,12
Onomi Whitemane,10,0,0,10,10
Triton,10,0,0,10,10
Annihilus,10,0,2,10,12
Bentley Wittman,10,0,0,10,10
Reed Richards (Earth-Unknown),10,0,0,10,10
Oola Udonta,9,0,0,9,9
Galan,9,0,2,9,11
Captain America (Steve Rogers),9,0,0,9,9
Karnak Mander-Azur,9,0,0,9,9
Lockjaw,9,0,0,9,9
Crystalia Amaquelin,9,0,0,9,9
Valeria Richards (Earth-10774),9,0,0,9,9
Ronan,9,0,0,9,9
Gorgon Petragon,8,0,0,8,8
Aladi Ko Eke,8,0,0,8,8
Namor McKenzie,8,0,1,8,9
Maximus Boltagon,8,0,0,8,8
Avoe,8,0,0,8,8
Kristoff Vernard,8,0,0,8,8
Anthony Stark,8,0,0,8,8
Kal Blackbane,8,0,0,8,8
Andrew Forson,8,0,0,8,8
Light Brigade,7,0,1,7,8
Prax Ord,7,0,0,7,7
Els Udonta,7,0,0,7,7
Jennifer Walters,7,0,0,7,7
Dara Ko Eke,7,0,0,7,7
Voorr,7,0,0,7,7
Advanced Idea Mechanics,7,0,0,7,7
Ted Castle,6,0,0,6,6
Mad Thinker (Julius),6,0,0,6,6
Esteban Corazón de Ablo,6,0,0,6,6
Robert Jema,6,0,0,6,6
Avengers,6,0,3,6,9
Herbert Wyndham,6,0,0,6,6
Harvey Elder,6,0,0,6,6
Highly Engineered Robot Built for Interdimensional Exploration,6,0,0,6,6
Anti-Priest,6,0,0,6,6
Cult of the Negative Zone,6,0,0,6,6
Hooud,6,0,0,6,6
Reed Richards (Earth-99107),6,1,0,7,7
Norrin Radd,5,0,0,5,5
T'Challa,5,0,1,5,6
Luke Cage,5,0,0,5,5
Clinton Barton,5,0,0,5,5
Alicia Masters,5,0,0,5,5
Moy-2515,5,0,0,5,5
Reed Richards (Earth-98570),5,1,0,6,6
Bruce Banner Jr. (Earth-807128),5,0,0,5,5
Lightwave (Earth-807128),5,0,0,5,5
Natalie X (Earth-807128),5,0,0,5,5
Accuser Corps,4,0,0,4,4
Storm (Ororo Munroe),4,0,0,4,4
Wolverine (James Howlett),4,0,0,4,4
New Avengers,4,0,0,4,4
Onome,4,0,0,4,4
Ul-Uhar,4,0,1,4,5
Eldrac,4,0,0,4,4
Alex Ultron (Earth-807128),4,0,0,4,4
Thaddeus Ross,4,0,0,4,4
Andromeda Attumasen,4,0,0,4,4
Daniel Rand,4,0,0,4,4
Binary (Carol Danvers),4,0,0,4,4
White Queen (Emma Frost),3,0,0,3,3
X-Men,3,0,1,3,4
Jessica Drew,3,0,0,3,3
Uatu,3,0,0,3,3
Shuri,3,0,0,3,3
Nathaniel Richards (Earth-12498),3,0,0,3,3
Henry Pym,3,0,0,3,3
Huran,2,0,0,2,2
Thor Odinson,2,0,0,2,2
Victor von Doom (Earth-45),2,0,0,2,2
Annihilation Wave,2,0,0,2,2
Giganto (Deviant Mutate),2,0,0,2,2
Anya Corazon,2,0,0,2,2
Matthew Murdock,2,0,0,2,2
Beast (Henry McCoy),2,0,0,2,2
William Lumpkin,2,0,0,2,2
Psionics (Cindy) (Earth-807128),2,0,0,2,2
Power Pack,2,0,0,2,2
Reed Richards (Earth-6590),2,0,0,2,2
Jack Power,2,0,1,2,3
James Buchanan Barnes,2,0,0,2,2
Bruce Banner,2,0,0,2,2
Anubis,2,0,0,2,2
Dal Damoc,2,0,0,2,2
Greer Nelson,2,0,0,2,2
Bast,2,0,0,2,2
Galan (Earth-2012),2,0,0,2,2
Noh-Varr (Earth-200080),2,0,0,2,2
Boris Karela,2,0,0,2,2
Young Allies (Modern),2,0,0,2,2
Doctor Strange,2,0,0,2,2
Cyclops (Scott Summers),2,0,0,2,2
Angelica Jones,2,0,0,2,2
Katherine Power,2,0,1,2,3
Nick Fury,2,0,0,2,2
Smartship Friday,2,0,0,2,2
Horizon Labs,1,0,0,1,1
Shadowcat (Kitty Pryde),1,0,0,1,1
Greg Willis,1,0,0,1,1
Julie Power,1,0,0,1,1
Iceman (Bobby Drake),1,0,0,1,1
Avengers Academy,1,0,0,1,1
Barbara Morse,1,0,0,1,1
Mary Jane Watson,1,0,0,1,1
Odin Borson,1,0,0,1,1
Max Modell,1,0,0,1,1
Fantastic Four (Earth-12665),1,0,0,1,1
High Priests of Science (Earth-98570),1,0,0,1,1
Barack Obama II,1,0,0,1,1
James Howlett (Earth-807128),1,0,0,1,1
Fantastic Force (Earth-807128),1,0,0,1,1
Bashenga,1,0,0,1,1
Atum,1,0,0,1,1
Dora Milaje,1,0,0,1,1
Future Foundation (Earth-12665),1,0,0,1,1
Spider-Woman (Earth-12665),1,0,0,1,1
Human Torch (Earth-12665),1,0,0,1,1
Franklin Richards (Earth-12665),1,0,0,1,1
Grady Scraps,1,0,0,1,1
Benjamin Grimm (Earth-12665),1,0,0,1,1
Sif,1,0,0,1,1
Edwin Jarvis,1,0,0,1,1
Tok'r,1,0,0,1,1
Sara Jessen,1,0,0,1,1
Jefferson Brigges,1,0,0,1,1
Aardwolf (Hyena Clan),1,0,0,1,1
Hyena Clan,1,0,0,1,1
N.Y.P.D.,1,0,1,1,2
Aribella Fishbach,1,0,0,1,1
Leonus,1,0,0,1,1
Jonas,1,0,0,1,1
Ry-Noor,1,0,0,1,1
Arcade,1,0,0,1,1
Jessica Jones,1,0,0,1,1
Von-Warr,1,0,0,1,1
Donald Blake,1,0,0,1,1
Jack Kirby,1,0,0,1,1
Stan Lee,1,0,0,1,1
Yancy Street Gang,1,0,0,1,1
Nikola Tesla,1,0,0,1,1
Nathaniel Richards (Immortus) (Earth-6311),1,0,0,1,1
Reed Richards (Earth-12),1,0,0,1,1
Impossible Man,1,0,1,1,2
Danielle Cage,1,0,0,1,1
Douglas Clarke,1,0,0,1,1
Singularity Conference,1,0,0,1,1
Moord Council,1,0,0,1,1
Centaurian Royal Family,1,0,0,1,1
Universal Inhuman Court,1,0,0,1,1
Silver Surfer (Earth-2012),1,0,0,1,1
Calvin Cooley,1,0,0,1,1
Galan (Earth-807128),1,5,0,6,6
Alyssa Moy,1,0,0,1,1
Secret Avengers (Black Ops Unit),1,0,0,1,1
Psylocke (Betsy Braddock),1,0,0,1,1
Professors of Magic (Earth-98570),1,0,0,1,1
White Noise,1,0,0,1,1
Awesome Android,1,0,0,1,1
Gabriel Summers,1,0,0,1,1
Arris,1,0,0,1,1
Ms. Vernard,1,0,0,1,1
Imperial Guard,1,0,1,1,2
Salac Tuur,1,0,0,1,1
Benjamin Parker,1,0,0,1,1
Manta,1,0,0,1,1
Kallark,1,0,0,1,1
Impulse II,1,0,0,1,1
Hussar,1,0,0,1,1
Al-Vokk,1,0,0,1,1
T'Konda,0,0,1,0,1
Yahweh,0,0,2,0,2
Reed Richards (Counter-Earth),0,0,1,0,1
Hu'Nahn,0,0,1,0,1
Jonathan Storm (Earth-12665),0,1,0,1,1
Susan Storm (Earth-12665),0,1,0,1,1
Reed Richards (Earth-12665),0,1,0,1,1
Krougarr,0,0,1,0,1
Reed Richards (Earth-944),0,0,1,0,1
Durp,0,0,1,0,1
Beyonder (Earth-5202),0,0,1,0,1
Praeter (Mike),0,0,1,0,1
Julius Robert Oppenheimer,0,0,1,0,1
Karima Shapandar,0,0,1,0,1
Nimrod (Earth-811),0,0,1,0,1
Defenders,0,0,1,0,1
Mephisto,0,0,0,0,0
Maybelle Parker,0,0,2,0,2
Maxwell Dillon,0,0,1,0,1
Wyatt Wingfoot,0,0,1,0,1
Sun Mare,0,0,1,0,1
Antar,0,0,1,0,1
Sluggos,0,0,1,0,1
Solomon,0,0,1,0,1
