source,target,correlation
Fantastic Four,Mister Fantastic,0.3508773210940423
Fantastic Four,Susan Storm,0.46074538931183473
Fantastic Four,Jonathan Storm,0.8251858809291364
Fantastic Four,The Thing,0.6242466507301793
Fantastic Four,Franklin Richards,0.17138276114211995
Fantastic Four,Valeria Richards,0.08525959430719318
Fantastic Four,Bentley Wittman (Clone),-0.09684683962230041
Fantastic Four,Reed Richards (Earth-4280),-0.08367515131148603
Fantastic Four,Reed Richards (Earth-6590),0.1820892601823075
Fantastic Four,Reed Richards (Earth-Unknown),-0.13101963288235463
Fantastic Four,Reed Richards (Earth-12498),-0.06843269347914539
Fantastic Four,Reed Richards (Earth-99107),0.23451238406334513
Fantastic Four,Reed Richards (Earth-98570),0.19486899491597495
Fantastic Four,Bentley Wittman,-0.1310196328823546
Fantastic Four,Galan (Earth-2012),0.18208926018230742
Fantastic Four,Nathaniel Richards,-0.29065917948809
Fantastic Four,Highly Engineered Robot Built for Interdimensional Exploration,0.21009029257555592
Fantastic Four,Katherine Power,0.19107433902543247
Fantastic Four,Jack Power,0.19107433902543247
Fantastic Four,Spider-Man (Peter Parker),0.046350003347017235
Fantastic Four,Victor von Doom (Earth-45),0.1820892601823074
Fantastic Four,Ted Castle,0.32826608214930625
Fantastic Four,Bruce Banner Jr. (Earth-807128),0.2965909994776428
Fantastic Four,Lightwave (Earth-807128),0.2965909994776428
Fantastic Four,Psionics (Cindy) (Earth-807128),0.1820892601823075
Fantastic Four,Natalie X (Earth-807128),0.2965909994776428
Fantastic Four,Alex Ultron (Earth-807128),0.2626128657194452
Fantastic Four,Franklin Richards (Earth-10774),0.049629166698546605
Fantastic Four,Alicia Masters,0.1684636877033011
Fantastic Four,William Lumpkin,0.18208926018230748
Fantastic Four,Power Pack,0.1820892601823074
Fantastic Four,Alexander Power,-0.11724137931034478
Fantastic Four,Artie Maddicks,0.04868041547183254
Fantastic Four,Leech,-0.0715762021160637
Fantastic Four,Draconus,-0.07708206381729935
Fantastic Four,Turg (Moloid),-0.037139067635410306
Fantastic Four,Tong (Moloid),-0.037139067635410326
Fantastic Four,Mik (Moloid),-0.11724137931034476
Fantastic Four,Korr (Moloid),-0.0715762021160637
Fantastic Four,Harvey Elder,-0.26261286571944503
Fantastic Four,Herbert Wyndham,-0.26261286571944503
Fantastic Four,Ul-Uhar,0.26936006681257524
Fantastic Four,Vil,-0.03713906763541028
Fantastic Four,Wu,-0.03713906763541028
Fantastic Four,Advanced Idea Mechanics,-0.08394926622588045
Fantastic Four,Aladi Ko Eke,-0.24006495872533343
Fantastic Four,Onomi Whitemane,-0.22662855417488362
Fantastic Four,Avoe,-0.24006495872533343
Fantastic Four,Oola Udonta,-0.28235463150271584
Fantastic Four,Universal Inhumans,-0.21463111439317922
Fantastic Four,House of Agon,-0.12903583341622082
Fantastic Four,Blackagar Boltagon,-0.17713731452090334
Fantastic Four,Medusalith Amaquelin,-0.17212786020508813
Fantastic Four,Maximus Boltagon,-0.030976123706494618
Fantastic Four,Lockjaw,-0.28235463150271584
Fantastic Four,Gorgon Petragon,-0.13552054121591403
Fantastic Four,Triton,-0.2266285541748835
Fantastic Four,Dal Damoc,-0.01456714081458462
Fantastic Four,Eldrac,0.12080191823094472
Fantastic Four,Uatu,-0.09908301680442996
Fantastic Four,Supreme Intelligence,-0.08878422598480314
Fantastic Four,Light Brigade,0.031778963312278564
Fantastic Four,Kal Blackbane,0.07356829380292489
Fantastic Four,Prax Ord,0.026618060022840166
Fantastic Four,Els Udonta,0.026618060022840166
Fantastic Four,Dara Ko Eke,0.026618060022840166
Fantastic Four,Voorr,0.026618060022840166
Fantastic Four,Hooud,-0.026261286571944494
Fantastic Four,Cult of the Negative Zone,0.09191450300180579
Fantastic Four,Anti-Priest,0.09191450300180579
Fantastic Four,Andromeda Attumasen,0.26261286571944503
Fantastic Four,Future Foundation,-0.14956399180023672
Fantastic Four,Jennifer Walters,0.24775271252028133
Fantastic Four,Moy-2515,0.2965909994776428
Fantastic Four,Smartship Friday,0.1820892601823074
Fantastic Four,Doctor Doom,-0.4412493744550866
Fantastic Four,Valeria Richards (Earth-10774),0.016609095970748097
Fantastic Four,Nathaniel Richards (Earth-12498),-0.26121886248440607
Fantastic Four,Norrin Radd,0.29659099947764267
Fantastic Four,Boris Karela,0.18208926018230742
Fantastic Four,Bruce Banner,0.18208926018230742
Fantastic Four,Galan,0.41580545105868133
Fantastic Four,X-Men,0.07057526454279145
Fantastic Four,Cyclops (Scott Summers),0.18208926018230742
Fantastic Four,White Queen (Emma Frost),0.22518867455552252
Fantastic Four,Namor McKenzie,0.27744635273885515
Fantastic Four,Nick Fury,0.18208926018230742
Fantastic Four,Clinton Barton,0.04033637592895944
Fantastic Four,New Avengers,0.12080191823094477
Fantastic Four,Luke Cage,0.16846368770330114
Fantastic Four,Daniel Rand,0.12080191823094477
Fantastic Four,James Buchanan Barnes,0.18208926018230742
Fantastic Four,Wolverine (James Howlett),0.12080191823094477
Fantastic Four,Annihilus,0.059691113485532916
Fantastic Four,Annihilation Wave,0.18208926018230748
Fantastic Four,Avengers,0.09685894270367777
Fantastic Four,Kristoff Vernard,-0.030976123706494642
Fantastic Four,Thor Odinson,0.18208926018230745
Fantastic Four,Anthony Stark,0.17811271131234443
Fantastic Four,Jessica Drew,0.06305282887554634
Fantastic Four,Storm (Ororo Munroe),-0.021009029257555597
Fantastic Four,Binary (Carol Danvers),0.1208019182309448
Fantastic Four,Captain America (Steve Rogers),0.21591824761972403
Fantastic Four,Beast (Henry McCoy),-0.0145671408145846
Fantastic Four,T'Challa,-0.09476278558437203
Fantastic Four,Andrew Forson,-0.24006495872533348
Fantastic Four,Robert Jema,-0.38078865529319533
Fantastic Four,Esteban Corazón de Ablo,-0.3807886552931955
Fantastic Four,Mad Thinker (Julius),-0.3807886552931955
Fantastic Four,Giganto (Deviant Mutate),-0.21122354181147662
Fantastic Four,Karnak Mander-Azur,-0.28235463150271595
Fantastic Four,Crystalia Amaquelin,-0.18270005567822786
Fantastic Four,Ronan,-0.18270005567822786
Fantastic Four,Accuser Corps,-0.16281997674605597
Fantastic Four,Huran,-0.21122354181147662
Fantastic Four,Matthew Murdock,-0.014567140814584562
Fantastic Four,Doctor Strange,-0.014567140814584562
Fantastic Four,Thaddeus Ross,0.12080191823094487
Fantastic Four,Noh-Varr (Earth-200080),-0.014567140814584562
Fantastic Four,Henry Pym,0.06305282887554638
Fantastic Four,Greer Nelson,-0.014567140814584562
Fantastic Four,Young Allies (Modern),-0.014567140814584562
Fantastic Four,Angelica Jones,-0.014567140814584562
Fantastic Four,Anya Corazon,-0.014567140814584562
Fantastic Four,Onome,-0.021009029257555562
Fantastic Four,Shuri,-0.2612188624844061
Fantastic Four,Anubis,-0.21122354181147662
Fantastic Four,Bast,-0.21122354181147662
Mister Fantastic,Fantastic Four,0.3508773210940423
Mister Fantastic,Susan Storm,0.7104576488384661
Mister Fantastic,Jonathan Storm,0.3396936133871076
Mister Fantastic,The Thing,0.5449026557759759
Mister Fantastic,Franklin Richards,0.021600201319945292
Mister Fantastic,Valeria Richards,0.1323476518013828
Mister Fantastic,Bentley Wittman (Clone),0.10618102208422557
Mister Fantastic,Reed Richards (Earth-4280),0.21061254535633273
Mister Fantastic,Reed Richards (Earth-6590),0.08166490252885075
Mister Fantastic,Reed Richards (Earth-Unknown),0.05929702360466552
Mister Fantastic,Reed Richards (Earth-12498),-0.09550432921885064
Mister Fantastic,Reed Richards (Earth-99107),-0.012431786393419127
Mister Fantastic,Reed Richards (Earth-98570),-0.039589735042283004
Mister Fantastic,Bentley Wittman,0.198516122502576
Mister Fantastic,Galan (Earth-2012),0.08166490252885081
Mister Fantastic,Nathaniel Richards,0.04595153205646055
Mister Fantastic,Highly Engineered Robot Built for Interdimensional Exploration,0.14722349673676996
Mister Fantastic,Katherine Power,0.08569460525378467
Mister Fantastic,Jack Power,0.08569460525378467
Mister Fantastic,Spider-Man (Peter Parker),0.29146327762621965
Mister Fantastic,Victor von Doom (Earth-45),0.0816649025288508
Mister Fantastic,Ted Castle,-0.0076479738564555685
Mister Fantastic,Bruce Banner Jr. (Earth-807128),-0.03489552434362787
Mister Fantastic,Lightwave (Earth-807128),-0.03489552434362787
Mister Fantastic,Psionics (Cindy) (Earth-807128),-0.1760568028544055
Mister Fantastic,Natalie X (Earth-807128),-0.03489552434362787
Mister Fantastic,Alex Ultron (Earth-807128),-0.0680669673224547
Mister Fantastic,Franklin Richards (Earth-10774),0.22258100543475584
Mister Fantastic,Alicia Masters,0.13301759279501724
Mister Fantastic,William Lumpkin,0.08166490252885077
Mister Fantastic,Power Pack,0.0816649025288508
Mister Fantastic,Alexander Power,0.02550739540866822
Mister Fantastic,Artie Maddicks,0.15088390126407975
Mister Fantastic,Leech,-0.020844863065956933
Mister Fantastic,Draconus,0.010021568781710063
Mister Fantastic,Turg (Moloid),-0.10275074934850635
Mister Fantastic,Tong (Moloid),-0.005407934176237199
Mister Fantastic,Mik (Moloid),-0.072103582296944
Mister Fantastic,Korr (Moloid),-0.020844863065956943
Mister Fantastic,Harvey Elder,0.14722349673677002
Mister Fantastic,Herbert Wyndham,0.14722349673677002
Mister Fantastic,Ul-Uhar,0.12080483812933324
Mister Fantastic,Vil,-0.005407934176237198
Mister Fantastic,Wu,-0.005407934176237198
Mister Fantastic,Advanced Idea Mechanics,0.1607023446133358
Mister Fantastic,Aladi Ko Eke,-0.1308053382180096
Mister Fantastic,Onomi Whitemane,-0.07992207529324487
Mister Fantastic,Avoe,-0.1308053382180096
Mister Fantastic,Oola Udonta,-0.10399557254883163
Mister Fantastic,Universal Inhumans,-0.03579022785145771
Mister Fantastic,House of Agon,-0.03757861130716661
