source,target,correlation
Mister Fantastic,Susan Storm,0.7104576488384661
Mister Fantastic,Valeria Richards,0.1323476518013828
Mister Fantastic,The Thing,0.5449026557759759
Mister Fantastic,Future Foundation,0.1602119431703131
Mister Fantastic,Franklin Richards,0.021600201319945292
Mister Fantastic,Jonathan Storm,0.3396936133871076
Mister Fantastic,Bentley Wittman (Clone),0.10618102208422557
Mister Fantastic,Fantastic Four,0.3508773210940423
Mister Fantastic,Mik (Moloid),-0.072103582296944
Mister Fantastic,Alexander Power,0.02550739540866822
Mister Fantastic,Draconus,0.010021568781710063
Mister Fantastic,Turg (Moloid),-0.10275074934850635
Mister Fantastic,Tong (Moloid),-0.005407934176237199
Mister Fantastic,Vil,-0.005407934176237198
Mister Fantastic,Wu,-0.005407934176237198
Mister Fantastic,Korr (Moloid),-0.020844863065956943
Mister Fantastic,Leech,-0.020844863065956933
Mister Fantastic,Spider-Man (Peter Parker),0.29146327762621965
Mister Fantastic,Nathaniel Richards,0.04595153205646055
Mister Fantastic,Artie Maddicks,0.15088390126407975
Mister Fantastic,Doctor Doom,-0.04666251740006906
Mister Fantastic,Reed Richards (Earth-12498),-0.09550432921885064
Mister Fantastic,Medusalith Amaquelin,-0.01850524688904289
Mister Fantastic,Blackagar Boltagon,-0.02940788795386733
Mister Fantastic,Universal Inhumans,-0.03579022785145771
Mister Fantastic,House of Agon,-0.03757861130716661
Mister Fantastic,Franklin Richards (Earth-10774),0.22258100543475584
Mister Fantastic,Supreme Intelligence,-0.06957284945872846
Mister Fantastic,Reed Richards (Earth-4280),0.21061254535633273
Mister Fantastic,Onomi Whitemane,-0.07992207529324487
Mister Fantastic,Annihilus,0.07745020990463404
Mister Fantastic,Bentley Wittman,0.198516122502576
Mister Fantastic,Reed Richards (Earth-Unknown),0.05929702360466552
Mister Fantastic,Triton,-0.07992207529324484
Mister Fantastic,Lockjaw,-0.10399557254883163
Mister Fantastic,Valeria Richards (Earth-10774),0.18622462991302408
Mister Fantastic,Crystalia Amaquelin,-0.1039955725488316
Mister Fantastic,Ronan,-0.1039955725488316
Mister Fantastic,Karnak Mander-Azur,-0.10399557254883163
Mister Fantastic,Captain America (Steve Rogers),0.18622462991302408
Mister Fantastic,Galan,0.17641037264554524
Mister Fantastic,Oola Udonta,-0.10399557254883163
Mister Fantastic,Gorgon Petragon,-0.13080533821800963
Mister Fantastic,Aladi Ko Eke,-0.1308053382180096
Mister Fantastic,Namor McKenzie,0.176082230303799
Mister Fantastic,Maximus Boltagon,-0.13080533821800963
Mister Fantastic,Avoe,-0.1308053382180096
Mister Fantastic,Kristoff Vernard,-0.28303568873034846
Mister Fantastic,Anthony Stark,0.17365536280666793
Mister Fantastic,Kal Blackbane,0.036648047345563026
Mister Fantastic,Andrew Forson,0.17365536280666796
Mister Fantastic,Jennifer Walters,0.16070234461333588
Mister Fantastic,Dara Ko Eke,0.015801900305207426
Mister Fantastic,Advanced Idea Mechanics,0.1607023446133358
Mister Fantastic,Els Udonta,0.015801900305207426
Mister Fantastic,Light Brigade,0.01812162414846888
