source,target,correlation
Mister Fantastic,Susan Storm,0.7104576488384661
Mister Fantastic,The Thing,0.5449026557759759
Susan Storm,Mister Fantastic,0.7104576488384661
Susan Storm,The Thing,0.5971683056494987
Valeria Richards,Franklin Richards,0.7642526785108703
Valeria Richards,Bentley Wittman (Clone),0.5547897209550936
Valeria Richards,Mik (Moloid),0.5196009237966684
Valeria Richards,Alexander Power,0.6064691896945636
Valeria Richards,Draconus,0.5843487097907776
Valeria Richards,Tong (Moloid),0.5630925063714732
Valeria Richards,Korr (Moloid),0.5426095162342935
Valeria Richards,Leech,0.5426095162342935
The Thing,Mister Fantastic,0.5449026557759759
The Thing,Susan Storm,0.5971683056494987
The Thing,Fantastic Four,0.6242466507301793
Future Foundation,Bentley Wittman (Clone),0.636082652595809
Future Foundation,Mik (Moloid),0.5701201667632789
Future Foundation,Alexander Power,0.6500850732703363
Future Foundation,Draconus,0.6236220155800971
Future Foundation,Turg (Moloid),0.5183439448387849
Future Foundation,Tong (Moloid),0.5980891671216749
Future Foundation,Vil,0.598089167121675
Future Foundation,Wu,0.598089167121675
Future Foundation,Korr (Moloid),0.5733775877845442
Franklin Richards,Valeria Richards,0.7642526785108703
Franklin Richards,Mik (Moloid),0.5602344040696189
Franklin Richards,Alexander Power,0.6380047326551186
Franklin Richards,Draconus,0.6093816105576185
Franklin Richards,Turg (Moloid),0.504118377314163
Franklin Richards,Tong (Moloid),0.5816750507471111
Franklin Richards,Vil,0.5041183773141628
Franklin Richards,Wu,0.5041183773141628
Franklin Richards,Korr (Moloid),0.5547672209321717
Franklin Richards,Leech,0.6323771430314908
Franklin Richards,Artie Maddicks,0.6346376737623803
Jonathan Storm,Fantastic Four,0.8251858809291364
Bentley Wittman (Clone),Valeria Richards,0.5547897209550936
Bentley Wittman (Clone),Future Foundation,0.636082652595809
Bentley Wittman (Clone),Mik (Moloid),0.6722310044371445
Bentley Wittman (Clone),Alexander Power,0.7491387888430889
Bentley Wittman (Clone),Draconus,0.7959171834405435
Bentley Wittman (Clone),Turg (Moloid),0.6135719910778964
Bentley Wittman (Clone),Tong (Moloid),0.6902684899626335
Bentley Wittman (Clone),Vil,0.6902684899626333
Bentley Wittman (Clone),Wu,0.6902684899626333
Bentley Wittman (Clone),Korr (Moloid),0.6623167990773093
Bentley Wittman (Clone),Leech,0.6623167990773097
Bentley Wittman (Clone),Artie Maddicks,0.5055259362666413
Fantastic Four,The Thing,0.6242466507301793
Fantastic Four,Jonathan Storm,0.8251858809291364
Mik (Moloid),Valeria Richards,0.5196009237966684
Mik (Moloid),Future Foundation,0.5701201667632789
Mik (Moloid),Franklin Richards,0.5602344040696189
Mik (Moloid),Bentley Wittman (Clone),0.6722310044371445
Mik (Moloid),Alexander Power,0.851034482758621
Mik (Moloid),Draconus,0.8891966647495615
Mik (Moloid),Turg (Moloid),0.9284766908852593
Mik (Moloid),Tong (Moloid),0.9284766908852594
Mik (Moloid),Vil,0.8541985556144386
Mik (Moloid),Wu,0.8541985556144386
Mik (Moloid),Korr (Moloid),0.8947025264507971
Mik (Moloid),Leech,0.7460442605174338
Mik (Moloid),Artie Maddicks,0.5744289025676235
Alexander Power,Valeria Richards,0.6064691896945636
Alexander Power,Future Foundation,0.6500850732703363
Alexander Power,Franklin Richards,0.6380047326551186
Alexander Power,Bentley Wittman (Clone),0.7491387888430889
Alexander Power,Mik (Moloid),0.851034482758621
Alexander Power,Draconus,0.9635257977162426
Alexander Power,Turg (Moloid),0.7799204203436181
Alexander Power,Tong (Moloid),0.854198555614439
Alexander Power,Vil,0.8541985556144386
Alexander Power,Wu,0.8541985556144386
Alexander Power,Korr (Moloid),0.8203733934841153
Alexander Power,Leech,0.8203733934841154
Alexander Power,Artie Maddicks,0.7246427560235635
Draconus,Valeria Richards,0.5843487097907776
Draconus,Future Foundation,0.6236220155800971
Draconus,Franklin Richards,0.6093816105576185
Draconus,Bentley Wittman (Clone),0.7959171834405435
Draconus,Mik (Moloid),0.8891966647495615
Draconus,Alexander Power,0.9635257977162426
Draconus,Turg (Moloid),0.8153742483272116
Draconus,Tong (Moloid),0.8894991799933221
Draconus,Vil,0.8894991799933216
Draconus,Wu,0.8894991799933216
Draconus,Korr (Moloid),0.8543956043956045
Draconus,Leech,0.8543956043956047
Draconus,Artie Maddicks,0.6801201241845051
Turg (Moloid),Future Foundation,0.5183439448387849
Turg (Moloid),Franklin Richards,0.504118377314163
Turg (Moloid),Bentley Wittman (Clone),0.6135719910778964
Turg (Moloid),Mik (Moloid),0.9284766908852593
Turg (Moloid),Alexander Power,0.7799204203436181
Turg (Moloid),Draconus,0.8153742483272116
Turg (Moloid),Tong (Moloid),0.925925925925926
Turg (Moloid),Vil,0.7777777777777777
Turg (Moloid),Wu,0.7777777777777777
Turg (Moloid),Korr (Moloid),0.8894991799933214
Turg (Moloid),Leech,0.741249316661101
Tong (Moloid),Valeria Richards,0.5630925063714732
Tong (Moloid),Future Foundation,0.5980891671216749
Tong (Moloid),Franklin Richards,0.5816750507471111
Tong (Moloid),Bentley Wittman (Clone),0.6902684899626335
Tong (Moloid),Mik (Moloid),0.9284766908852594
Tong (Moloid),Alexander Power,0.854198555614439
Tong (Moloid),Draconus,0.8894991799933221
Tong (Moloid),Turg (Moloid),0.925925925925926
Tong (Moloid),Vil,0.8518518518518519
Tong (Moloid),Wu,0.8518518518518519
Tong (Moloid),Korr (Moloid),0.8894991799933215
Tong (Moloid),Leech,0.7412493166611013
Tong (Moloid),Artie Maddicks,0.5617544147048535
Vil,Future Foundation,0.598089167121675
Vil,Franklin Richards,0.5041183773141628
Vil,Bentley Wittman (Clone),0.6902684899626333
Vil,Mik (Moloid),0.8541985556144386
Vil,Alexander Power,0.8541985556144386
Vil,Draconus,0.8894991799933216
Vil,Turg (Moloid),0.7777777777777777
Vil,Tong (Moloid),0.8518518518518519
Vil,Wu,1.0
Vil,Korr (Moloid),0.8153742483272113
Vil,Leech,0.7412493166611009
Vil,Artie Maddicks,0.6366550033321674
Wu,Future Foundation,0.598089167121675
Wu,Franklin Richards,0.5041183773141628
Wu,Bentley Wittman (Clone),0.6902684899626333
Wu,Mik (Moloid),0.8541985556144386
Wu,Alexander Power,0.8541985556144386
Wu,Draconus,0.8894991799933216
Wu,Turg (Moloid),0.7777777777777777
Wu,Tong (Moloid),0.8518518518518519
Wu,Vil,1.0
Wu,Korr (Moloid),0.8153742483272113
Wu,Leech,0.7412493166611009
Wu,Artie Maddicks,0.6366550033321674
Korr (Moloid),Valeria Richards,0.5426095162342935
Korr (Moloid),Future Foundation,0.5733775877845442
Korr (Moloid),Franklin Richards,0.5547672209321717
Korr (Moloid),Bentley Wittman (Clone),0.6623167990773093
Korr (Moloid),Mik (Moloid),0.8947025264507971
Korr (Moloid),Alexander Power,0.8203733934841153
Korr (Moloid),Draconus,0.8543956043956045
Korr (Moloid),Turg (Moloid),0.8894991799933214
Korr (Moloid),Tong (Moloid),0.8894991799933215
Korr (Moloid),Vil,0.8153742483272113
Korr (Moloid),Wu,0.8153742483272113
Korr (Moloid),Leech,0.7774725274725275
Korr (Moloid),Artie Maddicks,0.5191120947857242
Leech,Valeria Richards,0.5426095162342935
Leech,Franklin Richards,0.6323771430314908
Leech,Bentley Wittman (Clone),0.6623167990773097
Leech,Mik (Moloid),0.7460442605174338
