character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
Krakoa,200,8,38,208,246
Professor X (Charles Xavier),96,9,48,105,153
Wolverine (James Howlett),90,9,22,99,121
Storm (Ororo Munroe),90,8,4,98,102
Jean Grey,89,5,12,94,106
Magneto (Max Eisenhardt),83,3,23,86,109
White Queen (Emma Frost),79,6,17,85,102
Cyclops (Scott Summers),76,8,16,84,100
Quiet Council of Krakoa,68,4,44,72,116
Nightcrawler (Kurt Wagner),66,4,8,70,78
Beast (Henry McCoy),62,1,20,63,83
Mister Sinister (Nathaniel Essex),61,2,10,63,73
Mystique (Raven Darkhölme),57,4,1,61,62
Black King (Sebastian Shaw),54,1,4,55,59
Shadowcat (Kitty Pryde),54,4,8,58,66
Magik (Illyana Rasputina),49,3,7,52,59
Bennet du Paris,47,3,2,50,52
Cypher (Douglas Ramsey),45,0,20,45,65
Apocalypse (En Sabah Nur),44,5,27,49,76
Cable (Nathan Summers),43,2,11,45,56
Sage,42,6,21,48,69
X-Force (Strike Team),42,3,15,45,60
Kwannon,41,0,2,41,43
Iceman (Bobby Drake),40,1,2,41,43
Jubilee (Jubilation Lee),40,0,2,40,42
Colossus (Piotr Rasputin),39,3,9,42,51
Warlock,38,2,4,40,44
Havok (Alexander Summers),36,2,5,38,43
Gambit (Remy LeBeau),35,0,2,35,37
Psylocke (Betsy Braddock),35,4,10,39,49
Hope Summers,35,1,1,36,37
Angel (Warren Worthington III),35,2,1,37,38
Laura Kinney,34,1,4,35,39
Rogue (Anna Marie),34,3,4,37,41
Rictor (Julio Richter),33,0,0,33,33
Neena Thurman,33,4,3,37,40
Fabio Medina,33,1,1,34,35
New Mutants,32,0,1,32,33
Quintavius Quire,32,3,2,35,37
Marauders (Pryde),32,1,6,33,39
Joshua Foley,31,1,1,32,33
Hellfire Club,31,0,13,31,44
Five,31,1,26,32,58
Pyro,31,2,4,33,37
Proteus (Kevin MacTaggert),30,1,4,31,35
Eva Bell,30,1,0,31,31
Lucas Bishop (Earth-1191),30,1,9,31,40
Excalibur,29,0,5,29,34
Phoebe Cuckoo,29,1,4,30,34
Rachel Summers,29,0,4,29,33
X-Men,28,4,29,32,61
Megan Gwynn,28,0,0,28,28
Mirage (Danielle Moonstar),28,0,1,28,29
Stepford Cuckoos,28,1,10,29,39
Black Tom Cassidy,27,1,11,28,39
Banshee (Sean Cassidy),27,3,2,30,32
Forge,25,0,28,25,53
Shogo Lee,25,0,3,25,28
Arakko,25,1,21,26,47
Karma (Xi'an Coy Manh),25,0,1,25,26
Opal Luna Saturnyne (Earth-9),25,0,14,25,39
Victor Borkowski,24,0,0,24,24
Akihiro,24,1,3,25,28
Orchis,24,3,10,27,37
Everett Thomas,24,0,3,24,27
Sentient World Observation and Response Department,24,0,5,24,29
Cannonball (Samuel Guthrie),23,2,1,25,26
Blob,22,3,3,25,28
Captain Britain (Brian Braddock),22,2,8,24,32
Polaris (Lorna Dane),22,1,6,23,29
Meggan Puceanu,21,1,5,22,27
Wolfsbane (Rahne Sinclair),21,1,1,22,23
Joanna Cargill,21,0,0,21,21
Nanny,21,0,0,21,21
Esme Cuckoo,21,1,3,22,25
Gabrielle Kinney,21,0,0,21,21
Lockheed,21,1,1,22,23
Monet St. Croix,21,0,2,21,23
Scalphunter,21,0,0,21,21
Irma Cuckoo,21,1,1,22,23
Sophie Cuckoo,20,1,2,21,23
Hisako Ichiki,20,0,0,20,20
Sunfire (Shiro Yoshida),20,1,3,21,24
Monarch (James Braddock Jr.),20,2,10,22,32
Isca,19,0,3,19,22
Celeste Cuckoo,19,1,1,20,21
Kyle Gibney,19,1,0,20,20
Christian Frost,19,0,2,19,21
Hellions (Essex),18,0,3,18,21
Bei,18,0,2,18,20
Robert Herman,18,1,1,19,20
Abigail Brand,18,2,2,20,22
War (First Horsemen),17,2,2,19,21
Destiny (Irene Adler),17,1,2,18,20
Warpath (James Proudstar),17,0,4,17,21
Empath (Manuel de la Rocha),17,0,1,17,18
Callisto,17,1,0,18,18
Moira MacTaggert,17,3,8,20,28
Captain America (Steve Rogers),16,2,1,18,19
Death (First Horsemen),16,2,3,18,21
Multiple Man (James Madrox),16,1,0,17,17
Sunspot (Roberto da Costa),16,3,3,19,22
Orphan-Maker (Peter),16,0,2,16,18
Eden Fesi,16,0,1,16,17
Jean-Paul Beaubier,15,1,3,16,19
Alani Ryan,15,0,0,15,15
XENO,15,1,6,16,22
Natashia Repina,15,0,0,15,15
Boom-Boom (Tabitha Smith),15,0,1,15,16
Swordbearers of Krakoa,15,1,1,16,17
Cecilia Reyes,14,0,10,14,24
Amahl Farouk,14,0,0,14,14
Sabretooth (Victor Creed),14,5,4,19,23
Jeanne-Marie Beaubier,13,0,1,13,14
Imperial Guard,13,0,4,13,17
Tomi Shishido,13,4,8,17,25
Kallark,13,0,1,13,14
Wilhelmina Kensington,13,0,0,13,13
Dazzler (Alison Blaire),13,1,4,14,18
Pestilence (First Horsemen),13,2,3,15,18
Avengers,13,0,10,13,23
Carl Aalston,13,0,0,13,13
Jonothon Starsmore,13,0,0,13,13
X-Factor Investigations,13,1,5,14,19
Selene Gallio,12,0,3,12,15
Famine (First Horsemen),12,2,3,14,17
Fabian Cortez,12,0,1,12,13
Mondo,12,0,0,12,12
Lost Club,12,0,0,12,12
Roxanne Washington,12,0,0,12,12
Trevor Hawkins,12,1,0,13,13
Fury (Earth-238),12,0,2,12,14
Horsemen of Apocalypse,12,2,3,14,17
Gabriel Summers,12,0,2,12,14
Arkady Rossovich,12,3,1,15,16
Takeshi Matsuya,12,0,0,12,12
Anthony Stark,12,0,5,12,17
Swordbearers of Arakko,12,0,4,12,16
Homines Verendi,12,0,8,12,20
Shinobi Shaw,12,0,3,12,15
Kade Kilgore,12,0,0,12,12
Magma (Amara Aquilla),12,3,1,15,16
X-Corporation,11,0,8,11,19
Deathbird,11,0,1,11,12
Heather Tucker,11,0,3,11,14
Martha Johansson,11,0,0,11,11
David Alleyne,11,1,2,12,14
Genesis,11,2,6,13,19
Sooraya Qadir,11,0,0,11,11
Kuan-Yin Xorn,11,0,3,11,14
Healer (Morlock),11,0,2,11,13
Xandra Neramani,11,1,5,12,17
Shen Xorn,11,0,2,11,13
Great Ring of Arakko,10,0,3,10,13
Santo Vaccarro,10,0,6,10,16
Legion (David Haller),10,0,4,10,14
Manuel Enduque,10,0,0,10,10
