source,target,correlation
Professor X (Charles Xavier),Magneto (Max Eisenhardt),0.5714737229352707
Professor X (Charles Xavier),Quiet Council of Krakoa,0.6015833732178233
Professor X (Charles Xavier),Nightcrawler (Kurt Wagner),0.5113740153356022
Professor X (Charles Xavier),Mystique (Raven Darkhölme),0.5848177513130964
Storm (Ororo Munroe),Nightcrawler (Kurt Wagner),0.5115027457388643
Jean Grey,Cyclops (Scott Summers),0.5571882827650487
Magneto (Max Eisenhardt),Professor X (Charles Xavier),0.5714737229352707
Magneto (Max Eisenhardt),Quiet Council of Krakoa,0.6462250084132265
Magneto (Max Eisenhardt),Mystique (Raven Darkhölme),0.5355155439998587
Magneto (Max Eisenhardt),Bennet du Paris,0.5010222530134336
White Queen (Emma Frost),Quiet Council of Krakoa,0.5512855003288246
White Queen (Emma Frost),Mystique (Raven Darkhölme),0.5145797863156811
White Queen (Emma Frost),Shadowcat (Kitty Pryde),0.5291753612389024
White Queen (Emma Frost),Black King (Sebastian Shaw),0.6872240020080415
White Queen (Emma Frost),Bennet du Paris,0.5189491584691645
Cyclops (Scott Summers),Jean Grey,0.5571882827650487
Quiet Council of Krakoa,Professor X (Charles Xavier),0.6015833732178233
Quiet Council of Krakoa,Magneto (Max Eisenhardt),0.6462250084132265
Quiet Council of Krakoa,White Queen (Emma Frost),0.5512855003288246
Quiet Council of Krakoa,Mister Sinister (Nathaniel Essex),0.5144991906037968
Quiet Council of Krakoa,Mystique (Raven Darkhölme),0.6197754645134798
Quiet Council of Krakoa,Bennet du Paris,0.5737904933507912
Nightcrawler (Kurt Wagner),Professor X (Charles Xavier),0.5113740153356022
Nightcrawler (Kurt Wagner),Storm (Ororo Munroe),0.5115027457388643
Nightcrawler (Kurt Wagner),Mister Sinister (Nathaniel Essex),0.5371889409281004
Nightcrawler (Kurt Wagner),Mystique (Raven Darkhölme),0.64771477232647
Nightcrawler (Kurt Wagner),Black King (Sebastian Shaw),0.5529166650800525
Nightcrawler (Kurt Wagner),Bennet du Paris,0.6614011463244194
Beast (Henry McCoy),Angel (Warren Worthington III),0.5355144044222196
Mister Sinister (Nathaniel Essex),Quiet Council of Krakoa,0.5144991906037968
Mister Sinister (Nathaniel Essex),Nightcrawler (Kurt Wagner),0.5371889409281004
Mister Sinister (Nathaniel Essex),Mystique (Raven Darkhölme),0.5817120830084281
Mister Sinister (Nathaniel Essex),Bennet du Paris,0.6817064124737064
Mystique (Raven Darkhölme),Professor X (Charles Xavier),0.5848177513130964
Mystique (Raven Darkhölme),Magneto (Max Eisenhardt),0.5355155439998587
Mystique (Raven Darkhölme),White Queen (Emma Frost),0.5145797863156811
Mystique (Raven Darkhölme),Quiet Council of Krakoa,0.6197754645134798
Mystique (Raven Darkhölme),Nightcrawler (Kurt Wagner),0.64771477232647
Mystique (Raven Darkhölme),Mister Sinister (Nathaniel Essex),0.5817120830084281
Mystique (Raven Darkhölme),Black King (Sebastian Shaw),0.5647912940125072
Mystique (Raven Darkhölme),Bennet du Paris,0.6751076927919217
Shadowcat (Kitty Pryde),White Queen (Emma Frost),0.5291753612389024
Shadowcat (Kitty Pryde),Black King (Sebastian Shaw),0.5752233788120266
Shadowcat (Kitty Pryde),Marauders (Pryde),0.61265384682109
Shadowcat (Kitty Pryde),Lockheed,0.5018747829126372
Black King (Sebastian Shaw),White Queen (Emma Frost),0.6872240020080415
