character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
Conan,25,1,0,26,26
Kulan Gath (Impostor),16,3,2,19,21
Wolverine (James Howlett),13,1,3,14,17
Doctor Strange,13,1,3,14,17
Elektra Natchios,12,2,2,14,16
Jericho Drumm,11,2,2,13,15
Frank Castle,8,0,1,8,9
Savage Avengers,8,0,0,8,8
Magik (Illyana Rasputina),8,2,0,10,10
Doctor Doom,7,0,1,7,8
Juggernaut (Cain Marko),6,2,0,8,8
Natalia Romanova,6,2,0,8,8
Dane Whitman,6,1,0,7,7
Johan Richter,6,1,0,7,7
Hand,5,0,3,5,8
Johnathon Blaze,5,0,0,5,5
Kulan Gath (Impostor) (Earth-21924),4,0,0,4,4
Sorcerers of the Desert,4,0,1,4,5
Nathaniel Richards (Kang) (Earth-21924),4,0,0,4,4
Jhoatun Lau,4,0,2,4,6
Zarathos,4,0,0,4,4
Daimon Hellstrom,3,1,0,4,4
Deadpool (Wade Wilson),3,0,0,3,3
Hive (Symbiotes),3,0,0,3,3
Sadurang,3,1,2,4,6
Night Flyer (Stanley),3,1,0,4,4
Edward Brock,3,1,0,4,4
Arnold Paffenroth,3,0,0,3,3
Hellfire Club,3,0,0,3,3
Nathaniel Richards (Kang) (Earth-6311),3,0,0,3,3
Venom (Symbiote),2,1,1,3,4
Mortimer Toynbee,2,0,0,2,2
Nekra Sinclair,2,0,0,2,2
Johan Richter (Earth-21924),2,0,0,2,2
Edward Whelan,2,0,0,2,2
Legba (Vodū),2,0,0,2,2
Conan (Earth-21924),2,1,0,3,3
William Taurens,2,0,0,2,2
Tilda Johnson,2,0,0,2,2
Callisto,2,1,0,3,3
Iceman (Bobby Drake),2,0,0,2,2
David Angar,2,0,0,2,2
Marauders (Pryde),2,0,0,2,2
"Kulan Gath (Impostor, Temporal Paradox)",2,0,0,2,2
Galadriel (Pegasus),2,0,0,2,2
Lucas Bishop (Earth-1191),2,0,0,2,2
Strange Academy,1,0,0,1,1
Theodore Sallis,1,0,0,1,1
Spirit Rider,1,1,0,2,2
Kang Corps (Earth-21924),1,0,0,1,1
Bruce Banner (Earth-21924),1,0,0,1,1
Ivan Kragoff,1,0,0,1,1
N.Y.P.D.,1,0,0,1,1
Super-Apes,1,0,0,1,1
Orb (Mercenary),1,0,0,1,1
Skullbuster (Female Reaver),1,0,0,1,1
Spider-Man (Peter Parker),1,1,0,2,2
Aleksei Sytsevich,1,1,0,2,2
White Queen (Emma Frost),1,0,1,1,2
"Kulan Gath (Original, Temporal Paradox)",1,0,0,1,1
Cyclops (Scott Summers),1,0,0,1,1
Mekri Ra (Temporal Paradox),1,0,0,1,1
Crom (Earth-21924),1,0,0,1,1
Emily Bright,1,0,0,1,1
Doyle Dormammu,1,0,0,1,1
