character name,Savage Avengers Vol 1 1,Savage Avengers Vol 1 2,Savage Avengers Vol 1 3,Savage Avengers Vol 1 4,Savage Avengers Vol 1 5,Savage Avengers Vol 1 6,Savage Avengers Vol 1 7,Savage Avengers Vol 1 8,Savage Avengers Vol 1 9,Savage Avengers Vol 1 10,Savage Avengers Vol 1 11,Savage Avengers Vol 1 12,Savage Avengers Vol 1 13,Savage Avengers Vol 1 14,Savage Avengers Vol 1 15,Savage Avengers Vol 1 16,Savage Avengers Vol 1 17,Savage Avengers Vol 1 18,Savage Avengers Vol 1 19,Savage Avengers Vol 1 20,Savage Avengers Vol 1 21,Savage Avengers Vol 1 22,Savage Avengers Vol 1 23,Savage Avengers Vol 1 24,Savage Avengers Vol 1 25,Savage Avengers Vol 1 26,Savage Avengers Vol 1 27,Savage Avengers Vol 1 28
Conan,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Minor Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,,,Appearances,Appearances,Appearances
Wolverine (James Howlett),Appearances,Appearances,Appearances,Appearances,Appearances,Mentions,,,,,,Appearances,Appearances,,Appearances,,Mentions,Mentions,Appearances,,Minor Appearances,,Appearances,,,Appearances,Appearances,Appearances
Jericho Drumm,Appearances,Appearances,Appearances,Appearances,Appearances,Mentions,Appearances,Mentions,Appearances,Appearances,,Appearances,Appearances,,,,,,,,Minor Appearances,Minor Appearances,Appearances,,,,,
Hand,Appearances,Appearances,Appearances,Mentions,Appearances,,Appearances,,,,,Mentions,Mentions,,,,,,,,,,,,,,,
Sorcerers of the Desert,Appearances,,Appearances,,Appearances,,,Appearances,,,,,Mentions,,,,,,,,,,,,,,,
Johan Richter,Appearances,Appearances,Minor Appearances,,Appearances,,,,,,,,,,Appearances,,,,,Appearances,,,Appearances,,,,,
Kulan Gath (Impostor),Appearances,Appearances,Appearances,Appearances,Appearances,Mentions,Appearances,Appearances,Appearances,Appearances,Minor Appearances,Appearances,Appearances,,Mentions,Appearances,Appearances,Appearances,,Appearances,Minor Appearances,Minor Appearances,Appearances,,,,,
Signore Saviano,Appearances,,,,,,,,,,,,,,Mentions,,,,,,,,,,,,,
Beast (Demon),Mentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crom,,,Mentions,Mentions,Minor Appearances,Mentions,Mentions,Mentions,,,,,,,,Appearances,,,,,,,,,,,Mentions,
Kevin Plunder,Mentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Mentions,,,,Mentions,,,Mentions,,,,,,,,,,,,,,,,,,,,
Jhoatun Lau,Appearances,Mentions,Appearances,Appearances,Appearances,,Mentions,,,,,,,,,,,,,,,,,,,,,
Maria Castle,Minor Appearances,Mentions,Mentions,Minor Appearances,Minor Appearances,Minor Appearances,,,,,,,,,Mentions,,,,,,,,,,,,,
Lisa Castle,Minor Appearances,Mentions,Mentions,Minor Appearances,Minor Appearances,Minor Appearances,,,,,,,,,Mentions,,,,,,,,,,,,,
"Frank Castle, Jr.",Minor Appearances,Mentions,Mentions,Minor Appearances,Minor Appearances,Minor Appearances,,,,,,,,,Mentions,,,,,,,,,,,,,
Frank Castle,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,,,,,,,Mentions,,Appearances,,,,,,,,Appearances,,,,,
Allies,,Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Air Force,,Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Marine Corps,,Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
National Socialist German Workers Party,,Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Luftwaffe,,Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Shmidt,,Minor Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahweh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowhawk Tribe,,Minor Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Greshan,,Minor Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Corin,,Minor Appearances,,,,,,,,,,,,,,,,,,,,,,,,,,
Venom (Symbiote),,Mentions,,Appearances,Appearances,,,,,,,,,,,,,,,,Minor Appearances,,,,,,,
Elektra Natchios,,,Appearances,Appearances,Appearances,Mentions,Appearances,Mentions,,,Appearances,Appearances,Appearances,,Appearances,,,,,,Minor Appearances,Minor Appearances,Appearances,,,Appearances,Appearances,Appearances
Doctor Strange,,,Mentions,,Mentions,,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Mentions,,Appearances,,,,,Minor Appearances,Appearances,Appearances,,,Appearances,Appearances,Appearances
Daniel Drumm,,,Mentions,,,,Minor Appearances,,,,,Appearances,,,,,,,,,,,,,,,,
Edward Brock,,,,Appearances,Appearances,,,,,,,,,,,,,,,,Minor Appearances,,Appearances,,,,,
Spaceknights (Galadorian),,,,Mentions,,,,,,,,,,,,,,,,,,,,,,,,
Rom,,,,Mentions,,,,,,,,,,,,,,,,,,,,,,,,
Policia Nacional de Uruguay,,,,,,Appearances,,,,,,,,,,,,,,,,,,,,,,
Latverian Army,,,,,,,Appearances,,,,,,,,,,,,,,,,,,,,,
Charles LeJeune,,,,,,,Minor Appearances,,,,,,,,,,,,,,,,,,,,,
Vishanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Doom,,,,,,,Appearances,Appearances,Appearances,Appearances,,Mentions,,,,,,,,,,,,,,Appearances,Appearances,Appearances
Agamotto,,,,,,,,Mentions,,,,,,,,,,,,,,,Mentions,,,,,
Sadurang,,,,,,,,Mentions,,,Mentions,,Minor Appearances,Appearances,Appearances,Appearances,,,,,,,,,,,,
X-Men,,,,,,,,Mentions,,,,,,,,,,,Mentions,,,,,,,,,
Seraphim (Akah Ma'at),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legba (Vodū),,,,,,,,,,Appearances,,Appearances,,,,,,,,,,,,,,,,
Hoggoth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dormammu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogun (Vodū),,,,,,,,,,Mentions,,,,,,,,,,,,,,,,,,
Mephisto,,,,,,,,,,Mentions,,Mentions,,,,,,,,,,,,,,,,
Kulan Gath (Original),,,,,,,,,,,Minor Appearances,,,,,,,,,,,,,,,,,
Mekri Ra,,,,,,,,,,,Minor Appearances,,,,,,,Appearances,,,,,Mentions,,,,,
Thoth-Amon,,,,,,,,,,,Mentions,,,,,,,,,,,,,,,,,
Terhali,,,,,,,,,,,Minor Appearances,,,,,,,,,,,,,,,,,
Savage Avengers,,,,,,,,,,,,Appearances,Appearances,Appearances,Appearances,Appearances,,,,,,,,,,Appearances,Appearances,Appearances
Daimon Hellstrom,,,,,,,,,,,,Appearances,Appearances,,Appearances,,,,,,,Minor Appearances,,,,,,
Magik (Illyana Rasputina),,,,,,,,,,,,Appearances,Appearances,Appearances,Appearances,Appearances,,,,,Minor Appearances,Minor Appearances,,,,Appearances,Appearances,Appearances
Natalia Romanova,,,,,,,,,,,,Appearances,Appearances,,Appearances,,,,,,Minor Appearances,Minor Appearances,,,,Appearances,Appearances,Appearances
Chaste,,,,,,,,,,,,Mentions,,,,,,,,,,,,,,,,
Avengers (Earth-8591),,,,,,,,,,,,,Mentions,,,,,,,,,,,,,,,
X-Men (Earth-8591),,,,,,,,,,,,,Mentions,,,,,,,,,,,,,,,
Callisto,,,,,,,,,,,,,Minor Appearances,,,,,Appearances,Appearances,,,,,,,,,
Professor X (Charles Xavier),,,,,,,,,,,,,Minor Appearances,,,,,,,,,,,,,,,
Storm (Ororo Munroe),,,,,,,,,,,,,Minor Appearances,,,,,,Appearances,,,,,,,,,
Captain America (Steve Rogers),,,,,,,,,,,,,Minor Appearances,,,,,,,,,,,,,,,Mentions
Bats,,,,,,,,,,,,,Appearances,,,,,,,,,,,,,,,
Juggernaut (Cain Marko),,,,,,,,,,,,,,Appearances,Appearances,Appearances,,,,,Minor Appearances,Minor Appearances,,,,Appearances,Appearances,Appearances
Dane Whitman,,,,,,,,,,,,,,Appearances,Appearances,Appearances,,,,,,Minor Appearances,,,,Appearances,Appearances,Appearances
Galadriel (Pegasus),,,,,,,,,,,,,,Appearances,,Appearances,,,,,,,,,,,,
Ku Klux Klan,,,,,,,,,,,,,,Appearances,,,,,,,,,,,,,,
Arnold Paffenroth,,,,,,,,,,,,,,Appearances,,Appearances,,,,Appearances,,,,,,,,
Alonzo Lincoln,,,,,,,,,,,,,,Appearances,,,,,,,,,,,,,,
Elihas Starr,,,,,,,,,,,,,,Appearances,,,,,,,,,,,,,,
Edward Whelan,,,,,,,,,,,,,,Appearances,,Appearances,,,,,,,,,,,,
